iter	Logloss
0	0.3211528853
1	0.2530017891
2	0.2304999925
3	0.2177537657
4	0.2096718024
5	0.2043735425
6	0.1997764792
7	0.1960718107
8	0.1935006827
9	0.1897250078
10	0.1879407591
11	0.1854075056
12	0.1833428201
13	0.1812623874
14	0.1785005246
15	0.1772203273
16	0.1760879552
17	0.1746819097
18	0.1728446476
19	0.1718671231
20	0.1703431149
21	0.1692504766
22	0.1681873789
23	0.1663792905
24	0.1652219309
25	0.1636301459
26	0.1626226786
27	0.1616346685
28	0.16065469
29	0.1599248687
30	0.1588925719
31	0.1577489831
32	0.1568731181
33	0.1557583285
34	0.1551301062
35	0.1541235151
36	0.1529501592
37	0.1525268236
38	0.1514244153
39	0.1505848123
40	0.1496918305
41	0.1490234134
42	0.1479362922
43	0.1471719865
44	0.1465200828
45	0.1455171392
46	0.1450534792
47	0.1443477087
48	0.1437246024
49	0.1428544334
50	0.1424166733
51	0.1417217807
52	0.1412795189
53	0.1406059803
54	0.1402338118
55	0.1393601815
56	0.1389995843
57	0.1383208271
58	0.1377641813
59	0.1371671213
60	0.1365159603
61	0.135910177
62	0.1354692033
63	0.1347910668
64	0.134375397
65	0.1339583092
66	0.1335298598
67	0.1329860342
68	0.1325363142
69	0.132155461
70	0.1316886024
71	0.1312040145
72	0.1307682717
73	0.1301650191
74	0.1298057464
75	0.1292036536
76	0.1287615595
77	0.1283240978
78	0.1278915946
79	0.1276179688
80	0.1270294099
81	0.126705325
82	0.1264551597
83	0.126087683
84	0.1257277486
85	0.125332453
86	0.1249868604
87	0.1245754155
88	0.1240518485
89	0.1236484246
90	0.1232350257
91	0.1229917842
92	0.1225420766
93	0.1221626079
94	0.121776283
95	0.1214470618
96	0.1211604418
97	0.1208637971
98	0.1205603913
99	0.1202684444
