iter	Passed	Remaining
0	77	7700
1	143	7007
2	208	6751
3	272	6529
4	342	6512
5	409	6414
6	478	6361
7	547	6294
8	614	6213
9	689	6203
10	761	6157
11	830	6091
12	904	6053
13	981	6028
14	1059	6002
15	1128	5926
16	1195	5838
17	1266	5770
18	1339	5709
19	1406	5624
20	1479	5564
21	1547	5486
22	1618	5419
23	1692	5360
24	1766	5299
25	1838	5233
26	1906	5155
27	1985	5104
28	2053	5028
29	2121	4950
30	2190	4876
31	2262	4806
32	2343	4757
33	2421	4701
34	2492	4628
35	2564	4558
36	2632	4481
37	2696	4399
38	2770	4334
39	2840	4261
40	2911	4189
41	2978	4112
42	3063	4060
43	3136	3991
44	3203	3915
45	3276	3845
46	3341	3767
47	3411	3695
48	3486	3628
49	3551	3551
50	3616	3475
51	3687	3403
52	3754	3329
53	3825	3258
54	3896	3188
55	3970	3120
56	4045	3051
57	4116	2980
58	4189	2911
59	4257	2838
60	4326	2766
61	4402	2698
62	4477	2629
63	4549	2559
64	4615	2485
65	4682	2412
66	4752	2340
67	4824	2270
68	4889	2196
69	4956	2124
70	5035	2056
71	5108	1986
72	5183	1917
73	5255	1846
74	5319	1773
75	5392	1703
76	5462	1631
77	5535	1561
78	5604	1489
79	5676	1419
80	5750	1348
81	5820	1277
82	5887	1205
83	5956	1134
84	6038	1065
85	6141	999
86	6233	931
87	6320	861
88	6408	792
89	6493	721
90	6582	651
91	6666	579
92	6745	507
93	6825	435
94	6904	363
95	6986	291
96	7063	218
97	7140	145
98	7209	72
99	7281	0
